messageId,camId,timestamp,latitude,longitude,heading,speed,acceleration
2,1,12073,45.0532,7.65733,270,3.45,0.2
2,8,12111,45.0532,7.65746,270,4.03,-0.2
2,13,12226,45.0532,7.65766,270,7.61,-0.7
2,8,12711,45.0532,7.65743,270,3.84,-0.1
2,13,12726,45.0532,7.65762,270,7.05,-3
2,1,13073,45.0532,7.65728,270,3.45,-0.2
2,13,13126,45.0531,7.65758,270,7.79,2.3
2,13,13326,45.0531,7.65756,270,8.37,3.6
2,13,13526,45.0531,7.65754,270,9.01,3.7
2,8,13711,45.0532,7.65738,270,3.66,0
2,13,13726,45.0531,7.65752,270,9.62,3.5
2,13,13926,45.0531,7.65749,270,10.24,2.5
2,1,14073,45.0532,7.65724,270,3.46,1.2
2,13,14126,45.0531,7.65747,270,10.86,2.3
2,13,14326,45.0531,7.65744,270,11.46,2.4
2,1,14473,45.0532,7.65722,270,4.05,3.6
2,13,14526,45.0531,7.65741,270,12.04,3.5
2,1,14673,45.0532,7.65721,270,4.67,3.4
2,4,14694,45.0531,7.65664,90,20.82,1.3
2,8,14711,45.0532,7.65733,270,4.15,1.4
2,13,14726,45.0531,7.65738,270,12.64,2.2
2,1,14873,45.0532,7.6572,270,5.32,2.8
2,4,14894,45.0531,7.6567,90,20.82,0.6
2,13,14926,45.0531,7.65734,270,13.26,3.4
2,8,15011,45.0532,7.65732,270,4.73,1.8
2,1,15073,45.0532,7.65719,270,5.9,2.4
2,4,15094,45.0531,7.65675,90,20.81,0.1
2,13,15126,45.0531,7.65731,270,13.84,3.1
2,1,15273,45.0532,7.65717,270,6.49,2.6
2,4,15294,45.0531,7.6568,90,20.81,-0.1
2,8,15311,45.0532,7.6573,270,5.35,3.3
2,13,15326,45.0531,7.65728,270,14.41,3.7
2,1,15473,45.0532,7.65715,270,6.92,0
2,4,15494,45.0531,7.65685,90,20.81,-1.2
2,13,15526,45.0531,7.65724,270,15,3.7
2,8,15611,45.0532,7.65728,270,5.74,1.4
2,1,15673,45.0532,7.65714,270,6.93,0.2
2,4,15694,45.0531,7.6569,90,20.82,-0.2
2,13,15726,45.0531,7.6572,270,15.26,0.8
2,1,15873,45.0532,7.65712,270,6.93,0.7
2,4,15894,45.0531,7.65696,90,20.82,0.3
2,8,15911,45.0531,7.65725,270,6.27,3.6
2,13,15926,45.0531,7.65716,270,15.25,-0.3
2,4,16094,45.0531,7.65701,90,20.81,0.4
2,8,16111,45.0531,7.65724,270,6.9,2.4
2,13,16126,45.0531,7.65712,270,15.25,-0.8
2,20,16255,45.0532,7.65789,270,1.22,3.4
2,4,16294,45.0531,7.65706,90,20.81,0.5
2,8,16311,45.0531,7.65722,270,7.51,3.9
2,13,16426,45.0531,7.65707,270,15.25,0.1
2,20,16455,45.0532,7.65788,270,1.94,3.6
2,1,16473,45.0532,7.65707,270,6.92,-0.4
2,4,16494,45.0531,7.65711,90,20.82,1
2,8,16511,45.0531,7.6572,270,8.11,3.4
2,20,16655,45.0532,7.65788,270,2.63,2.7
2,4,16694,45.0531,7.65716,90,20.81,0
2,8,16711,45.0531,7.65718,270,8.72,3
2,13,16726,45.0531,7.65701,270,15.26,0.2
2,20,16855,45.0532,7.65787,270,3.28,3
2,4,16894,45.0531,7.65722,90,20.81,-0.3
2,8,16911,45.0531,7.65716,270,9.32,3.7
2,13,17026,45.0531,7.65695,270,15.26,1.1
2,20,17055,45.0532,7.65786,270,3.94,2.9
2,1,17073,45.0532,7.65701,270,6.92,-0.1
2,4,17094,45.0531,7.65727,90,20.81,-1.2
2,8,17111,45.0531,7.65713,270,9.88,3.1
2,20,17255,45.0532,7.65785,270,4.54,3.1
2,4,17294,45.0531,7.65732,90,20.82,0.7
2,8,17311,45.0531,7.65711,270,10.48,3.3
2,13,17326,45.0531,7.65689,270,15.26,1.2
2,20,17455,45.0532,7.65784,270,5.17,3.8
2,4,17494,45.0531,7.65737,90,20.81,0.7
2,8,17511,45.0531,7.65708,270,11.08,2.5
2,13,17626,45.0531,7.65684,270,15.25,-0.2
2,20,17655,45.0532,7.65783,270,5.82,3.3
2,1,17673,45.0532,7.65696,270,6.92,-0.9
2,4,17694,45.0531,7.65742,90,20.81,-0.4
2,8,17711,45.0531,7.65705,270,11.62,2.2
2,20,17855,45.0532,7.65781,270,6.4,3.2
2,4,17894,45.0531,7.65748,90,20.82,0.8
2,8,17911,45.0531,7.65702,270,12.24,2.1
2,13,17926,45.0531,7.65678,270,15.26,0.5
2,20,18055,45.0532,7.65779,270,6.92,-0.9
2,4,18094,45.0531,7.65753,90,20.81,-0.6
2,8,18111,45.0531,7.65699,270,12.85,3
2,13,18226,45.0531,7.65672,270,15.26,0
2,20,18255,45.0532,7.65778,270,6.93,0.5
2,1,18273,45.0532,7.65691,270,6.93,0.8
2,4,18294,45.0531,7.65758,90,20.82,0.5
2,8,18311,45.0531,7.65696,270,13.46,3.5
2,20,18455,45.0532,7.65776,270,6.93,0.3
2,4,18494,45.0531,7.65763,90,20.82,1.3
2,8,18511,45.0531,7.65692,270,14.05,3.6
2,13,18526,45.0531,7.65667,270,15.25,-1.8
2,20,18655,45.0532,7.65774,270,6.92,0
2,4,18694,45.0531,7.65769,90,20.81,-0.1
2,8,18711,45.0531,7.65689,270,14.64,3.6
2,13,18826,45.0531,7.65661,270,15.25,0.3
2,1,18873,45.0532,7.65686,270,6.93,0.7
2,4,18894,45.0531,7.65774,90,20.82,-0.3
2,8,18911,45.0531,7.65685,270,15.04,0
2,4,19094,45.0531,7.65779,90,20.82,0.7
2,8,19111,45.0531,7.65681,270,15.06,-0.7
2,13,19126,45.0531,7.65655,270,15.25,-1.4
2,20,19255,45.0532,7.65769,270,6.93,0.5
2,4,19294,45.0531,7.65784,90,20.82,0.5
2,8,19311,45.0531,7.65677,270,15.07,0.1
2,13,19426,45.0531,7.65649,270,15.26,0.7
2,1,19473,45.0532,7.65681,270,6.93,-0.2
2,4,19494,45.0531,7.65789,90,20.82,-0.2
2,8,19611,45.0531,7.65672,270,15.08,-0.9
2,4,19694,45.0531,7.65795,90,20.82,0.7
2,13,19726,45.0531,7.65644,270,15.26,1.2
2,4,19794,45.0531,7.65798,96.9,20.82,1.2
2,20,19855,45.0532,7.65764,270,6.92,-1.4
2,4,19894,45.0531,7.658,106.1,20.82,0.5
2,8,19911,45.0531,7.65666,270,15.09,-0.4
2,4,19994,45.0531,7.65802,115.8,20.81,0
2,13,20026,45.0531,7.65638,270,15.26,1.4
2,1,20073,45.0532,7.65675,270,6.93,1.3
2,4,20094,45.0531,7.65804,123.1,20.82,0.8
2,8,20211,45.0531,7.6566,270,15.12,0.7
2,13,20326,45.0531,7.65632,270,15.26,-0.2
2,18,20336,45.0531,7.65586,90,13.87,-1.3
2,14,20376,45.0531,7.65588,90,11.09,-0.1
2,20,20455,45.0532,7.65758,270,6.93,1.4
2,8,20511,45.0531,7.65655,270,15.13,-0.6
2,13,20626,45.0531,7.65626,270,15.26,1.1
2,18,20636,45.0531,7.65591,90,13.87,-0.9
2,1,20673,45.0532,7.6567,270,6.92,0
2,14,20776,45.0531,7.65594,90,11.1,1.1
2,8,20811,45.0531,7.65649,270,15.15,0.1
2,13,20926,45.0531,7.65621,270,15.25,-0.1
2,18,20936,45.0531,7.65596,90,13.87,0
2,20,21055,45.0532,7.65753,270,6.93,0
2,8,21111,45.0531,7.65643,270,15.15,-0.1
2,14,21176,45.0531,7.65599,90,11.09,-0.4
2,13,21226,45.0531,7.65615,270,15.26,0.6
2,18,21236,45.0531,7.65601,90,13.87,-0.5
2,1,21273,45.0532,7.65665,270,6.93,-0.5
2,8,21411,45.0531,7.65638,270,15.16,-0.4
2,13,21526,45.0531,7.65609,270,15.26,1.3
2,18,21536,45.0531,7.65606,90,13.87,0
2,14,21576,45.0531,7.65605,90,11.1,-0.2
2,20,21655,45.0532,7.65748,270,6.92,-0.7
2,8,21711,45.0531,7.65632,270,15.17,-1.1
2,13,21826,45.0531,7.65604,270,15.26,0.9
2,18,21836,45.0531,7.65612,90,13.87,-0.2
2,1,21873,45.0532,7.6566,270,6.92,0.3
2,14,21976,45.0531,7.6561,90,11.09,-0.8
2,8,22011,45.0531,7.65626,270,15.19,1
2,13,22126,45.0532,7.65598,270,15.26,0.4
2,18,22136,45.0531,7.65617,90,13.87,-1.6
2,20,22255,45.0532,7.65743,270,6.92,-0.6
2,8,22311,45.0531,7.6562,270,15.79,2.9
2,14,22376,45.0531,7.65616,90,11.09,-0.3
2,5,22398,45.0531,7.65543,90,11.1,-0.5
2,13,22426,45.0532,7.65592,270,15.26,0.9
2,18,22436,45.0531,7.65622,90,13.88,0.7
2,1,22473,45.0532,7.65655,270,6.93,0.9
2,8,22511,45.0531,7.65616,270,16.36,2.4
2,8,22711,45.0531,7.65612,270,16.64,-0.3
2,13,22726,45.0532,7.65586,270,15.26,0.6
2,18,22736,45.0531,7.65627,90,13.87,-1.7
2,14,22776,45.0531,7.65621,90,11.09,0
2,5,22798,45.0531,7.65549,90,11.1,-0.8
2,20,22855,45.0532,7.65738,270,6.93,0
2,8,22911,45.0531,7.65608,270,16.64,0.2
2,13,23026,45.0532,7.65581,270,15.26,1.3
2,18,23036,45.0531,7.65632,90,13.88,1.1
2,1,23073,45.0532,7.65649,270,6.92,-1.2
2,8,23111,45.0531,7.65604,270,16.64,-0.6
2,14,23176,45.0531,7.65627,90,11.1,1.6
2,5,23198,45.0531,7.65554,90,11.09,0.3
2,8,23311,45.0531,7.656,270,16.64,0.3
2,13,23326,45.0532,7.65575,270,15.25,-1.5
2,18,23336,45.0531,7.65638,90,13.87,-0.5
2,20,23455,45.0532,7.65732,270,6.92,0
2,14,23576,45.0531,7.65632,90,11.1,0.9
2,5,23598,45.0531,7.6556,90,11.1,-0.2
2,8,23611,45.0531,7.65594,270,16.65,0.5
2,13,23626,45.0532,7.65569,270,15.26,0.1
2,18,23636,45.0531,7.65643,90,13.87,-1.1
2,1,23673,45.0532,7.65644,270,6.93,0.2
2,8,23911,45.0531,7.65587,270,16.64,0.6
2,13,23926,45.0532,7.65563,270,15.25,-0.3
2,18,23936,45.0531,7.65648,90,13.87,0
2,14,23976,45.0531,7.65638,90,11.09,0.4
2,5,23998,45.0531,7.65566,90,11.1,-0.3
2,8,24211,45.0531,7.65581,270,16.65,1.6
2,13,24226,45.0531,7.65558,270,15.25,0.3
2,18,24236,45.0531,7.65653,90,13.88,0.9
2,1,24273,45.0532,7.65639,270,6.92,-0.6
2,14,24376,45.0531,7.65644,90,11.09,0.1
2,5,24398,45.0531,7.65571,90,11.1,-0.1
2,8,24511,45.0531,7.65575,270,16.64,0.2
2,13,24526,45.0531,7.65552,270,15.26,0.1
2,18,24536,45.0531,7.65658,90,13.88,0
2,14,24776,45.0531,7.65649,90,11.09,0.5
2,5,24798,45.0531,7.65577,90,11.1,0.3
2,8,24811,45.0531,7.65569,270,16.64,-1.1
2,13,24826,45.0531,7.65546,270,15.25,-0.6
2,18,24836,45.0531,7.65664,90,13.87,-0.5
2,1,24873,45.0532,7.65634,270,6.92,-0.5
2,8,25111,45.0531,7.65562,270,16.65,0.6
2,13,25126,45.0531,7.6554,270,15.25,-0.2
2,18,25136,45.0531,7.65669,90,13.87,-1.5
2,14,25176,45.0531,7.65655,90,11.09,-0.3
2,5,25198,45.0531,7.65582,90,11.1,0.3
