messageId,camId,timestamp,latitude,longitude,heading,speed,acceleration
2,19,15108,45.0523,7.65789,270,3.2,3.6
2,19,15308,45.0523,7.65788,270,3.83,2.8
2,4,15494,45.0531,7.65685,90,20.81,-1.2
2,19,15508,45.0523,7.65787,270,4.43,3
2,4,15694,45.0531,7.6569,90,20.82,-0.2
2,19,15708,45.0523,7.65786,270,5.03,2
2,4,15894,45.0531,7.65696,90,20.82,0.3
2,19,15908,45.0523,7.65785,270,5.66,2.5
2,4,16094,45.0531,7.65701,90,20.81,0.4
2,19,16108,45.0523,7.65783,270,6.26,3.5
2,4,16294,45.0531,7.65706,90,20.81,0.5
2,19,16308,45.0523,7.65782,270,6.83,2.6
2,4,16494,45.0531,7.65711,90,20.82,1
2,19,16508,45.0523,7.6578,270,6.93,-0.7
2,4,16694,45.0531,7.65716,90,20.81,0
2,19,16708,45.0523,7.65778,270,6.93,1.2
2,19,16908,45.0523,7.65776,270,6.92,-0.8
2,19,17508,45.0523,7.65771,270,6.92,-0.8
2,11,17717,45.0522,7.65585,90,9.7,-1
2,19,18108,45.0523,7.65766,270,6.92,-0.5
2,11,18217,45.0522,7.65591,90,9.71,0.2
2,19,18708,45.0523,7.65761,270,6.92,0
2,11,18717,45.0522,7.65597,90,9.71,-0.2
2,15,18962,45.0522,7.6557,90,13.88,1
2,11,19217,45.0522,7.65603,90,9.7,0
2,15,19262,45.0522,7.65576,90,13.88,-0.1
2,19,19308,45.0523,7.65755,270,6.92,0
2,15,19562,45.0522,7.65581,90,13.87,-1.7
2,12,19606,45.0522,7.65562,90,6.93,0.7
2,11,19717,45.0522,7.65609,90,9.71,0
2,15,19862,45.0522,7.65586,90,13.88,0
2,19,19908,45.0523,7.6575,270,6.92,0.2
2,15,20162,45.0522,7.65591,90,13.88,1
2,12,20206,45.0522,7.65567,90,6.92,0
2,11,20217,45.0522,7.65615,90,9.7,0
2,15,20462,45.0522,7.65596,90,13.88,0
2,19,20508,45.0523,7.65745,270,6.93,0.1
2,11,20717,45.0522,7.65621,90,9.71,0.5
2,15,20762,45.0522,7.65602,90,13.87,0.7
2,12,20806,45.0522,7.65573,90,6.93,-0.6
2,15,21062,45.0523,7.65607,90,13.88,1.1
2,19,21108,45.0523,7.6574,270,6.93,0
2,11,21217,45.0522,7.65627,90,9.7,0.6
2,15,21362,45.0523,7.65612,90,13.87,-0.8
2,12,21406,45.0522,7.65578,90,6.92,-0.2
2,15,21662,45.0523,7.65617,90,13.88,0.6
2,19,21708,45.0523,7.65735,270,6.92,0
