messageId,camId,timestamp,latitude,longitude,heading,speed,acceleration
2,10,12658,45.0524,7.6546,303.6,6.93,1
2,5,12698,45.0527,7.65443,358.1,11.09,-0.3
2,7,12708,45.0528,7.65438,191.2,11.1,1.3
2,17,12755,45.0531,7.65469,236.9,2.37,2.8
2,5,12798,45.0527,7.65443,2.7,11.1,-0.7
2,2,12896,45.0531,7.656,270,20.82,1.8
2,5,12898,45.0527,7.65444,7.4,11.09,-1.5
2,17,12955,45.0531,7.65468,236.9,3.04,2.5
2,9,12966,45.0525,7.65449,310.7,6.93,0.8
2,14,12976,45.0531,7.65505,90,5.55,1
2,5,12998,45.0527,7.65444,11.3,11.1,0.2
2,6,13055,45.0527,7.65432,191.3,8.32,0.6
2,9,13066,45.0525,7.65449,317.2,6.93,0.6
2,2,13096,45.0531,7.65594,270,20.81,0.6
2,5,13098,45.0527,7.65444,11.3,11.09,0
2,7,13108,45.0528,7.65437,191.2,11.09,-0.9
2,17,13155,45.0531,7.65467,236.9,3.69,2.9
2,9,13166,45.0525,7.65449,324,6.92,0.6
2,5,13198,45.0528,7.65444,11.3,11.09,-0.7
2,10,13258,45.0524,7.65455,303.6,6.92,-0.2
2,9,13266,45.0525,7.65448,330.9,6.92,-1.2
2,2,13296,45.0531,7.65589,270,20.81,0
2,17,13355,45.0531,7.65467,236.9,4.27,2.7
2,9,13366,45.0525,7.65448,337.6,6.92,-1.3
2,9,13466,45.0525,7.65448,344.1,6.93,1.7
2,2,13496,45.0531,7.65584,270,20.81,0.4
2,7,13508,45.0527,7.65436,191.2,11.1,-0.7
2,6,13555,45.0527,7.65431,185.5,8.31,-0.7
2,17,13555,45.0531,7.65466,236.9,4.94,3.3
2,9,13566,45.0525,7.65448,350.2,6.93,0.3
2,5,13598,45.0528,7.65445,11.3,11.09,-1.3
2,9,13666,45.0525,7.65448,350.5,6.93,-0.4
2,2,13696,45.0531,7.65579,270,20.81,-1.1
2,6,13755,45.0527,7.65432,178.6,8.31,-1
2,17,13755,45.0531,7.65464,236.9,5.58,2.3
