messageId,camId,timestamp,latitude,longitude,heading,speed,acceleration
2,6,8555,45.053,7.65452,236.9,8.32,0.4
2,3,8581,45.0523,7.65766,270,6.92,-1.3
2,7,8608,45.0531,7.65469,236.9,4.62,2.3
2,5,8598,45.0524,7.65461,303.6,10.43,3.1
2,9,8666,45.0523,7.65476,303.6,4.33,2.7
2,4,8694,45.0531,7.65523,90,12.37,2.7
2,6,8755,45.053,7.6545,236.9,8.31,-0.4
2,5,8798,45.0524,7.65459,303.6,11.01,2
2,7,8808,45.0531,7.65468,236.9,5.23,3.5
2,8,8811,45.0532,7.65767,270,7.48,-1.1
2,9,8866,45.0523,7.65475,303.6,4.89,3
2,4,8894,45.0531,7.65526,90,13.03,3.1
2,2,8896,45.0531,7.65704,270,20.03,3.4
2,5,8998,45.0524,7.65457,303.6,11.09,0
2,7,9008,45.053,7.65466,236.9,5.88,3.3
2,1,9073,45.0532,7.65746,270,3.46,1
2,9,9066,45.0523,7.65474,303.6,5.48,3
2,2,9096,45.0531,7.65699,270,20.61,3.4
2,8,9111,45.0532,7.65765,270,6.92,-1.4
2,4,9094,45.0531,7.65529,90,13.61,3.7
2,3,9181,45.0523,7.6576,270,6.93,0.7
2,5,9198,45.0524,7.65455,303.6,11.09,0.2
2,7,9208,45.053,7.65465,236.9,6.51,3.8
2,13,9226,45.0532,7.65788,270,1.83,3.2
2,10,9258,45.0523,7.65479,303.6,0,0
2,6,9255,45.053,7.65446,236.9,8.31,-1.1
2,9,9266,45.0523,7.65473,303.6,6.06,2.7
2,2,9296,45.0531,7.65693,270,20.81,-0.6
2,4,9294,45.0531,7.65533,90,14.23,2.3
2,5,9398,45.0524,7.65453,303.6,11.1,0
2,8,9411,45.0532,7.65762,270,6.39,-2.4
2,7,9408,45.053,7.65464,236.9,7.1,3.8
2,13,9426,45.0532,7.65788,270,2.51,3.3
2,10,9458,45.0523,7.65479,303.6,0.77,3.9
2,9,9466,45.0523,7.65472,303.6,6.7,3.6
2,2,9496,45.0531,7.65688,270,20.82,0.5
2,4,9494,45.0531,7.65536,90,14.86,3.1
2,7,9608,45.053,7.65462,236.9,7.68,2
2,10,9658,45.0523,7.65478,303.6,1.51,3.6
2,9,9666,45.0524,7.6547,303.6,6.92,-0.5
2,2,9696,45.0531,7.65683,270,20.81,-0.5
2,8,9711,45.0532,7.6576,270,5.94,-2.2
2,4,9694,45.0531,7.6554,90,15.5,3.7
2,6,9755,45.053,7.65441,236.9,8.31,0.7
2,3,9781,45.0523,7.65755,270,6.92,-1.5
2,5,9798,45.0525,7.65449,307.1,11.09,-1
2,7,9808,45.053,7.6546,236.9,8.29,2
2,10,9858,45.0523,7.65478,303.6,2.21,3.8
2,9,9866,45.0524,7.65469,303.6,6.92,-1.1
2,2,9896,45.0531,7.65678,270,20.81,-0.8
2,5,9898,45.0525,7.65449,317.3,11.1,0.2
2,4,9894,45.0531,7.65544,90,16.07,2.3
2,5,9998,45.0525,7.65449,328.3,11.1,0
2,8,10011,45.0532,7.65758,270,5.56,0
2,7,10008,45.053,7.65459,236.9,8.87,3.4
2,10,10058,45.0523,7.65477,303.6,2.88,2.9
2,1,10073,45.0532,7.65741,270,3.45,-0.7
2,9,10066,45.0524,7.65468,303.6,6.92,-1.6
2,2,10096,45.0531,7.65673,270,20.81,0
2,5,10098,45.0525,7.65448,339.1,11.09,-0.6
2,4,10094,45.0531,7.65548,90,16.64,2.2
2,14,10176,45.0531,7.65489,90,1.11,3.7
2,5,10198,45.0525,7.65448,349.1,11.09,-0.1
2,7,10208,45.053,7.65457,236.9,9.46,2
2,6,10255,45.0529,7.65437,228.8,8.32,1.4
2,10,10258,45.0523,7.65477,303.6,3.51,3.7
2,2,10296,45.0531,7.65667,270,20.82,-0.6
2,5,10298,45.0525,7.65448,350.5,11.1,0.6
2,4,10294,45.0531,7.65552,90,17.26,3.5
2,8,10311,45.0532,7.65756,270,5.21,-2.1
2,6,10355,45.0529,7.65437,221.1,8.31,-0.9
2,14,10376,45.0531,7.6549,90,1.84,3.6
2,3,10381,45.0523,7.6575,270,6.93,0.5
2,5,10398,45.0525,7.65448,350.5,11.09,0
2,7,10408,45.053,7.65455,236.9,10.06,2.7
2,10,10458,45.0523,7.65476,303.6,4.11,3.9
2,6,10455,45.0529,7.65437,213.1,8.32,1.2
2,2,10496,45.0531,7.65662,270,20.81,-0.2
2,5,10498,45.0525,7.65447,350.5,11.1,1.2
2,4,10494,45.0531,7.65557,90,17.85,2.6
2,6,10555,45.0529,7.65437,205.1,8.31,0
2,14,10576,45.0531,7.6549,90,2.51,2.7
2,7,10608,45.053,7.65452,236.9,10.66,3.7
2,13,10626,45.0532,7.65781,270,6.16,3.2
2,10,10658,45.0523,7.65475,303.6,4.73,3.4
2,6,10655,45.0529,7.65437,197.5,8.31,-0.1
2,9,10666,45.0524,7.65464,303.6,6.92,0.2
2,2,10696,45.0531,7.65657,270,20.82,1.8
2,4,10694,45.0531,7.65561,90,18.42,2.1
2,6,10755,45.0529,7.65436,191.3,8.32,-0.3
2,14,10776,45.0531,7.65491,90,3.14,3.5
2,7,10808,45.053,7.6545,236.9,11.09,0.3
2,13,10826,45.0532,7.6578,270,6.75,2.4
2,10,10858,45.0523,7.65474,303.6,5.31,2.5
2,6,10855,45.0529,7.65436,191.3,8.32,1.1
2,2,10896,45.0531,7.65652,270,20.82,0.6
2,5,10898,45.0525,7.65446,350.5,11.1,1.2
2,4,10894,45.0531,7.65566,90,19.01,2.6
2,8,10911,45.0532,7.65752,270,4.68,-0.4
2,6,10955,45.0529,7.65436,191.3,8.31,-0.4
2,14,10976,45.0531,7.65492,90,3.76,3.8
2,3,10981,45.0523,7.65745,270,6.92,-1.1
2,7,11008,45.053,7.65448,236.9,11.09,-0.3
2,13,11026,45.0532,7.65778,270,7.34,3.9
2,10,11058,45.0523,7.65473,303.6,5.93,3
2,6,11055,45.0529,7.65436,191.3,8.31,0.1
2,1,11073,45.0532,7.65737,270,3.46,-0.6
2,2,11096,45.0531,7.65646,270,20.81,0.4
2,4,11094,45.0531,7.65571,90,19.6,3.1
2,14,11176,45.0531,7.65493,90,4.32,3.1
2,12,11206,45.0522,7.65493,90,2.88,2.7
2,7,11208,45.0529,7.65446,236.9,11.09,-0.5
2,13,11226,45.0532,7.65776,270,7.62,-0.5
2,10,11258,45.0523,7.65472,303.6,6.55,2
2,9,11266,45.0524,7.6546,303.6,6.93,-0.3
2,2,11296,45.0531,7.65641,270,20.81,-0.5
2,5,11298,45.0526,7.65446,350.5,11.09,-0.6
2,4,11294,45.0531,7.65576,90,20.2,3.7
2,14,11376,45.0531,7.65494,90,4.89,2.6
2,12,11406,45.0522,7.65494,90,3.52,2.8
2,13,11426,45.0532,7.65774,270,7.61,-0.9
2,10,11458,45.0524,7.65471,303.6,6.9,-0.6
2,2,11496,45.0531,7.65636,270,20.81,-0.7
2,4,11494,45.0531,7.65581,90,20.8,3.5
2,8,11511,45.0532,7.65749,270,4.29,-1.5
2,6,11555,45.0528,7.65435,191.3,8.32,0.9
2,14,11576,45.0531,7.65495,90,5.52,3.9
2,3,11581,45.0523,7.6574,270,6.92,0
2,12,11606,45.0522,7.65494,90,4.16,3.9
2,7,11608,45.0529,7.65441,236.1,11.09,0
2,13,11626,45.0532,7.65772,270,7.61,0.1
2,10,11658,45.0524,7.65469,303.6,6.9,-0.5
2,2,11696,45.0531,7.65631,270,20.81,0
2,5,11698,45.0526,7.65445,350.5,11.09,-0.5
2,4,11694,45.0531,7.65586,90,20.82,0.5
2,7,11708,45.0529,7.65441,226.4,11.09,-0.6
2,14,11776,45.0531,7.65497,90,5.54,0.9
2,12,11806,45.0522,7.65496,90,4.76,2.3
2,7,11808,45.0529,7.6544,215.9,11.09,0
2,10,11858,45.0524,7.65468,303.6,6.9,-1.1
2,9,11866,45.0524,7.65456,303.6,6.93,0.5
2,4,11894,45.0531,7.65591,90,20.82,1.3
2,2,11896,45.0531,7.65626,270,20.81,-0.9
2,7,11908,45.0529,7.6544,205.2,11.1,0.6
2,14,11976,45.0531,7.65498,90,5.54,-0.6
2,12,12006,45.0522,7.65497,90,5.33,3.1
2,7,12008,45.0529,7.6544,195.2,11.09,-0.4
2,10,12058,45.0524,7.65467,303.6,6.9,-0.3
2,6,12055,45.0528,7.65434,191.3,8.31,-0.1
2,1,12073,45.0532,7.65733,270,3.45,0.2
2,5,12098,45.0527,7.65444,350.5,11.09,-0.9
2,4,12094,45.0531,7.65597,90,20.82,0
2,16,12098,45.0532,7.65789,270,0.19,3.9
2,2,12096,45.0531,7.6562,270,20.82,1.3
2,8,12111,45.0532,7.65746,270,4.03,-0.2
2,7,12108,45.0529,7.6544,191.2,11.09,0.5
2,14,12176,45.0531,7.655,90,5.55,0.1
2,3,12181,45.0523,7.65734,270,6.92,-0.2
2,12,12206,45.0522,7.65498,90,5.9,2
2,7,12208,45.0529,7.65439,191.2,11.1,-0.7
2,13,12226,45.0532,7.65766,270,7.61,-0.7
2,16,12298,45.0532,7.65789,270,0.97,3.8
2,4,12294,45.0531,7.65602,90,20.82,0.1
2,2,12296,45.0531,7.65615,270,20.82,0.4
2,7,12308,45.0529,7.65439,191.2,11.1,0.3
2,17,12355,45.0531,7.6547,236.9,0.96,3.8
2,15,12362,45.0522,7.65491,90,0.39,3.9
2,12,12406,45.0522,7.655,90,6.56,3
2,9,12466,45.0524,7.65452,303.6,6.92,0
2,16,12498,45.0532,7.65789,270,1.68,3.5
2,5,12498,45.0527,7.65443,350.5,11.1,0.8
2,4,12494,45.0531,7.65607,90,20.81,-0.4
2,2,12496,45.0531,7.6561,270,20.81,0.5
2,17,12555,45.0531,7.65469,236.9,1.69,3.3
2,6,12555,45.0528,7.65433,191.3,8.31,-0.6
2,15,12562,45.0522,7.65491,90,1.16,3.8
2,12,12606,45.0522,7.65502,90,6.93,0.4
2,10,12658,45.0524,7.6546,303.6,6.93,1
2,16,12698,45.0532,7.65788,270,2.37,2.8
2,5,12698,45.0527,7.65443,358.1,11.09,-0.3
2,4,12694,45.0531,7.65612,90,20.81,0.2
2,2,12696,45.0531,7.65605,270,20.81,0.5
2,7,12708,45.0528,7.65438,191.2,11.1,1.3
2,8,12711,45.0532,7.65743,270,3.84,-0.1
2,13,12726,45.0532,7.65762,270,7.06,-3
2,15,12762,45.0522,7.65492,90,1.88,3
2,17,12755,45.0531,7.65469,236.9,2.37,2.8
2,3,12781,45.0523,7.65729,270,6.92,-1.1
2,5,12798,45.0527,7.65443,2.7,11.1,-0.7
2,12,12806,45.0522,7.65503,90,6.92,-1.4
2,16,12898,45.0532,7.65787,270,3.02,2.6
2,5,12898,45.0527,7.65444,7.4,11.09,-1.5
2,4,12894,45.0531,7.65617,90,20.82,1.9
2,2,12896,45.0531,7.656,270,20.82,1.8
2,17,12955,45.0531,7.65468,236.9,3.04,2.5
2,9,12966,45.0525,7.65449,310.7,6.93,0.8
2,15,12962,45.0522,7.65492,90,2.55,3.2
2,14,12976,45.0531,7.65505,90,5.55,1
2,5,12998,45.0527,7.65444,11.3,11.1,0.2
2,12,13006,45.0522,7.65505,90,6.93,0.9
2,6,13055,45.0527,7.65432,191.3,8.32,0.6
2,9,13066,45.0525,7.65449,317.2,6.93,0.6
2,2,13096,45.0531,7.65594,270,20.81,0.6
2,16,13098,45.0532,7.65787,270,3.62,3
2,5,13098,45.0527,7.65444,11.3,11.09,0
2,4,13094,45.0531,7.65623,90,20.82,0.3
2,7,13108,45.0528,7.65437,191.2,11.09,-0.9
2,13,13126,45.0531,7.65758,270,7.8,2.3
2,17,13155,45.0531,7.65467,236.9,3.69,2.9
2,9,13166,45.0525,7.65449,324,6.92,0.6
2,15,13162,45.0522,7.65493,90,3.24,3.8
2,1,13073,45.0532,7.65728,270,3.45,-0.2
2,5,13198,45.0528,7.65444,11.3,11.09,-0.7
2,9,13266,45.0525,7.65448,330.9,6.92,-1.2
2,10,13258,45.0524,7.65455,303.6,6.92,-0.2
2,2,13296,45.0531,7.65589,270,20.81,0
2,4,13294,45.0531,7.65628,90,20.81,-0.5
2,13,13326,45.0531,7.65756,270,8.39,3.6
2,17,13355,45.0531,7.65467,236.9,4.27,2.7
2,15,13362,45.0522,7.65494,90,3.87,2.9
2,9,13366,45.0525,7.65448,337.6,6.92,-1.3
2,3,13381,45.0523,7.65724,270,6.92,-0.9
2,9,13466,45.0525,7.65448,344.1,6.93,1.7
2,2,13496,45.0531,7.65584,270,20.81,0.4
2,4,13494,45.0531,7.65633,90,20.82,0.4
2,7,13508,45.0527,7.65436,191.2,11.1,-0.7
2,13,13526,45.0531,7.65754,270,9.02,3.7
2,17,13555,45.0531,7.65466,236.9,4.94,3.3
